Player,Pos,Team,FantasyPoints,VOR,VOR Rank,Rank,Current ADP,ADP Rank,Diff in ADP and VOR
Christian McCaffrey,RB,SF,315.3,149.5,1.0,1.0,1.0,1.0,0.0
CeeDee Lamb,WR,DAL,275.5,114.30000000000001,2.0,2.0,2.0,2.0,0.0
Tyreek Hill,WR,MIA,258.6,97.40000000000003,5.0,3.0,3.0,3.0,-2.0
Breece Hall,RB,NYJ,275.5,109.69999999999999,3.0,4.0,4.0,4.0,1.0
JaMarr Chase,WR,CIN,239.6,78.4,12.0,5.0,5.0,5.0,-7.0
Bijan Robinson,RB,ATL,267.4,101.59999999999997,4.0,6.0,6.0,6.0,2.0
Justin Jefferson,WR,MIN,240.1,78.9,11.0,7.0,7.0,7.0,-4.0
AmonRa St Brown,WR,DET,243.7,82.5,10.0,8.0,8.0,8.0,-2.0
Jonathan Taylor,RB,IND,249.4,83.6,9.0,9.0,9.0,9.0,0.0
AJ Brown,WR,PHI,224.9,63.70000000000002,17.0,10.0,10.0,10.0,-7.0
Saquon Barkley,RB,PHI,261.2,95.39999999999998,6.0,11.0,11.0,11.0,5.0
Garrett Wilson,WR,NYJ,210.2,49.0,21.5,12.0,12.0,12.0,-9.5
Jahmyr Gibbs,RB,DET,220.2,54.39999999999998,19.0,13.0,13.0,13.0,-6.0
Puka Nacua,WR,LAR,228.7,67.5,14.0,14.0,14.0,14.0,0.0
Derrick Henry,RB,BAL,226.3,60.5,18.0,15.0,15.0,15.0,-3.0
Kyren Williams,RB,LAR,236.5,70.69999999999999,13.0,16.0,16.0,16.0,3.0
Marvin Harrison,WR,ARI,203.3,42.10000000000002,29.0,17.0,17.0,17.0,-12.0
Davante Adams,WR,LV,202.3,41.10000000000002,31.0,18.0,18.0,18.0,-13.0
Isiah Pacheco,RB,KC,216.3,50.5,20.0,19.0,19.0,19.0,-1.0
Josh Allen,QB,BUF,349.6,87.5,8.0,20.0,20.0,20.0,12.0
Travis Etienne,RB,JAC,214.2,48.39999999999998,23.0,21.0,21.0,21.0,-2.0
Chris Olave,WR,NO,204.1,42.900000000000006,27.0,22.0,22.0,22.0,-5.0
Travis Kelce,TE,KC,189.7,40.5,33.0,24.0,23.0,23.0,-10.0
Josh Jacobs,RB,GB,212.8,47.0,24.5,23.0,24.0,24.0,-0.5
Sam LaPorta,TE,DET,177.0,27.80000000000001,49.0,25.0,25.0,25.0,-24.0
Brandon Aiyuk,WR,SF,192.6,31.400000000000006,45.0,26.0,26.0,26.0,-19.0
Mike Evans,WR,TB,201.3,40.10000000000002,34.0,27.0,27.0,27.0,-7.0
Patrick Mahomes,QB,KC,328.7,66.59999999999997,15.0,28.0,28.0,28.0,13.0
DeVon Achane,RB,MIA,212.8,47.0,24.5,30.0,29.0,29.0,4.5
Deebo Samuel,WR,SF,199.9,38.70000000000002,35.0,29.0,30.0,30.0,-5.0
Drake London,WR,ATL,191.4,30.200000000000017,46.0,31.0,31.0,31.0,-15.0
Jalen Hurts,QB,PHI,351.8,89.69999999999999,7.0,32.0,32.0,32.0,25.0
Rachaad White,RB,TB,210.3,44.5,26.0,33.0,33.0,33.0,7.0
Lamar Jackson,QB,BAL,327.3,65.19999999999999,16.0,34.0,34.0,34.0,18.0
Joe Mixon,RB,HOU,214.8,49.0,21.5,35.0,35.0,35.0,13.5
Nico Collins,WR,HOU,201.8,40.60000000000002,32.0,36.0,36.0,36.0,4.0
Jaylen Waddle,WR,MIA,181.3,20.100000000000023,58.5,37.0,37.0,37.0,-21.5
Cooper Kupp,WR,LAR,191.0,29.80000000000001,47.0,38.0,38.0,38.0,-9.0
DK Metcalf,WR,SEA,193.5,32.30000000000001,40.0,40.0,39.0,39.0,-1.0
DJ Moore,WR,CHI,193.2,32.0,41.0,39.0,40.0,40.0,-1.0
CJ Stroud,QB,HOU,296.8,34.69999999999999,39.0,41.0,41.0,41.0,2.0
James Cook,RB,BUF,208.6,42.79999999999998,28.0,42.0,42.0,42.0,14.0
Anthony Richardson,QB,IND,298.9,36.799999999999955,38.0,43.0,43.0,43.0,5.0
Stefon Diggs,WR,HOU,183.1,21.900000000000006,53.0,44.0,44.0,44.0,-9.0
Michael Pittman,WR,IND,181.7,20.5,56.0,45.0,45.0,45.0,-11.0
Kenneth Walker,RB,SEA,197.3,31.5,43.5,46.0,46.0,46.0,2.5
David Montgomery,RB,DET,177.0,11.199999999999989,68.0,47.0,47.0,47.0,-21.0
Mark Andrews,TE,BAL,175.6,26.400000000000006,51.0,48.0,48.0,48.0,-3.0
Alvin Kamara,RB,NO,202.7,36.89999999999998,37.0,49.0,49.0,49.0,12.0
Amari Cooper,WR,CLE,183.3,22.100000000000023,52.0,50.0,50.0,50.0,-2.0
Aaron Jones,RB,MIN,176.9,11.099999999999994,69.0,51.0,51.0,51.0,-18.0
Trey McBride,TE,ARI,151.1,1.9000000000000057,82.0,52.0,52.0,52.0,-30.0
DeVonta Smith,WR,PHI,188.4,27.200000000000017,50.0,53.0,53.0,53.0,3.0
George Kittle,TE,SF,153.6,4.400000000000006,78.0,54.0,54.0,54.0,-24.0
Joe Burrow,QB,CIN,300.2,38.099999999999966,36.0,55.0,55.0,55.0,19.0
Kyler Murray,QB,ARI,293.6,31.5,43.5,56.0,56.0,56.0,12.5
Dalton Kincaid,TE,BUF,146.3,-2.8999999999999773,97.0,57.0,57.0,57.0,-40.0
James Conner,RB,ARI,181.7,15.899999999999977,64.0,58.0,58.0,58.0,-6.0
Rhamondre Stevenson,RB,NE,166.4,0.5999999999999943,87.0,59.0,59.0,59.0,-28.0
Tee Higgins,WR,CIN,182.9,21.700000000000017,54.0,60.0,60.0,60.0,6.0
Kyle Pitts,TE,ATL,144.0,-5.199999999999989,101.0,61.0,61.0,61.0,-40.0
Dak Prescott,QB,DAL,304.2,42.099999999999966,30.0,62.0,62.0,62.0,32.0
Tank Dell,WR,HOU,181.3,20.100000000000023,58.5,64.0,63.0,63.0,4.5
Zamir White,RB,LV,176.0,10.199999999999989,72.0,63.0,64.0,64.0,-8.0
Raheem Mostert,RB,MIA,182.2,16.399999999999977,63.0,66.0,65.0,65.0,2.0
Zay Flowers,WR,BAL,182.2,21.0,55.0,65.0,66.0,66.0,11.0
Najee Harris,RB,PIT,170.6,4.799999999999983,76.0,67.0,67.0,67.0,-9.0
Malik Nabers,WR,NYG,165.9,4.700000000000017,77.0,68.0,68.0,68.0,-9.0
George Pickens,WR,PIT,172.7,11.5,66.5,69.0,69.0,69.0,2.5
Dandre Swift,RB,CHI,168.8,3.0,79.0,71.0,71.0,71.0,-8.0
Evan Engram,TE,JAC,147.5,-1.6999999999999886,95.0,72.0,72.0,72.0,-23.0
Jordan Love,QB,GB,294.0,31.899999999999977,42.0,73.0,73.0,73.0,31.0
Keenan Allen,WR,CHI,159.7,-1.5,94.0,76.0,76.0,76.0,-18.0
Jake Ferguson,TE,DAL,143.2,-6.0,103.0,77.0,77.0,77.0,-26.0
Christian Kirk,WR,JAC,161.8,0.6000000000000227,86.0,78.0,78.0,78.0,-8.0
Terry McLaurin,WR,WAS,159.8,-1.3999999999999773,93.0,79.0,79.0,79.0,-14.0
Brock Purdy,QB,SF,290.7,28.599999999999966,48.0,81.0,81.0,81.0,33.0
Zack Moss,RB,CIN,167.1,1.299999999999983,84.0,83.0,83.0,83.0,-1.0
Hollywood Brown,WR,KC,157.8,-3.3999999999999773,99.0,85.0,85.0,85.0,-14.0
Nick Chubb,RB,CLE,161.4,-4.400000000000006,100.0,86.0,86.0,86.0,-14.0
David Njoku,TE,CLE,149.2,0.0,90.5,87.0,87.0,87.0,-3.5
Tony Pollard,RB,TEN,155.9,-9.900000000000006,106.0,89.0,89.0,89.0,-17.0
Chris Godwin,WR,TB,171.7,10.5,71.0,90.0,90.0,90.0,19.0
Jaylen Warren,RB,PIT,152.7,-13.100000000000023,112.0,92.0,91.0,91.0,-21.0
Jayden Reed,WR,GB,163.3,2.1000000000000227,81.0,91.0,92.0,92.0,11.0
Calvin Ridley,WR,TEN,179.1,17.900000000000006,62.0,93.0,93.0,93.0,31.0
Devin Singletary,RB,NYG,148.5,-17.30000000000001,116.0,95.0,95.0,95.0,-21.0
Brian Robinson,RB,WAS,165.8,0.0,90.5,97.0,96.0,96.0,5.5
Tua Tagovailoa,QB,MIA,262.1,0.0,90.5,96.0,97.0,97.0,6.5
Diontae Johnson,WR,CAR,162.5,1.3000000000000114,83.0,98.0,98.0,98.0,15.0
Rome Odunze,WR,CHI,142.5,-18.69999999999999,121.0,99.0,99.0,99.0,-22.0
Rashee Rice,WR,KC,161.2,0.0,90.5,100.0,100.0,100.0,9.5
Austin Ekeler,RB,WAS,165.9,0.09999999999999432,88.0,101.0,101.0,101.0,13.0
Jared Goff,QB,DET,268.8,6.699999999999989,74.0,102.0,102.0,102.0,28.0
DeAndre Hopkins,WR,TEN,170.2,9.0,73.0,104.0,103.0,103.0,30.0
Jordan Addison,WR,MIN,162.0,0.8000000000000114,85.0,103.0,104.0,104.0,19.0
Javonte Williams,RB,DEN,154.0,-11.800000000000011,110.0,105.0,105.0,105.0,-5.0
Jonathon Brooks,RB,CAR,160.3,-5.5,102.0,107.0,107.0,107.0,5.0
Dallas Goedert,TE,PHI,129.3,-19.899999999999977,122.0,109.0,109.0,109.0,-13.0
Ezekiel Elliott,RB,DAL,145.7,-20.100000000000023,123.0,110.0,110.0,110.0,-13.0
Trey Benson,RB,ARI,113.4,-52.400000000000006,166.0,111.0,112.0,112.0,-54.0
Tyjae Spears,RB,TEN,140.5,-25.30000000000001,128.0,113.0,113.0,113.0,-15.0
Jayden Daniels,QB,WAS,281.7,19.599999999999966,60.0,114.0,114.0,114.0,54.0
Gus Edwards,RB,LAC,140.8,-25.0,127.0,115.0,115.0,115.0,-12.0
Brock Bowers,TE,LV,121.6,-27.599999999999994,132.0,116.0,116.0,116.0,-16.0
Xavier Worthy,WR,KC,150.2,-11.0,109.0,118.0,117.0,117.0,8.0
Caleb Williams,QB,CHI,276.9,14.799999999999955,65.0,119.0,118.0,118.0,53.0
Christian Watson,WR,GB,163.7,2.5,80.0,120.0,120.0,120.0,40.0
Ladd McConkey,WR,LAC,148.5,-12.699999999999989,111.0,122.0,122.0,122.0,11.0
Justin Herbert,QB,LAC,280.4,18.299999999999955,61.0,123.0,124.0,124.0,63.0
Courtland Sutton,WR,DEN,153.2,-8.0,104.0,125.0,125.0,125.0,21.0
Dalton Schultz,TE,HOU,116.9,-32.29999999999998,138.5,126.0,126.0,126.0,-12.5
JJ McCarthy,QB,MIN,215.0,-47.10000000000002,154.0,130.0,127.0,127.0,-27.0
Russell Wilson,QB,PIT,215.3,-46.80000000000001,152.5,127.0,128.0,128.0,-24.5
Bo Nix,QB,DEN,201.7,-60.400000000000034,176.0,129.0,129.0,129.0,-47.0
TJ Hockenson,TE,MIN,120.1,-29.099999999999994,134.0,128.0,130.0,130.0,-4.0
Jerome Ford,RB,CLE,119.0,-46.80000000000001,152.5,131.0,131.0,131.0,-21.5
Justin Fields,QB,PIT,62.3,-199.8,323.0,134.0,132.0,132.0,-191.0
Chase Brown,RB,CIN,132.7,-33.10000000000002,142.0,132.0,133.0,133.0,-9.0
Odell Beckham,WR,MIA,97.7,-63.499999999999986,181.0,133.0,134.0,134.0,-47.0
Trevor Lawrence,QB,JAC,282.5,20.399999999999977,57.0,136.0,135.0,135.0,78.0
Tyler Lockett,WR,SEA,145.8,-15.399999999999977,114.0,135.0,136.0,136.0,22.0
Blake Corum,RB,LAR,112.4,-53.400000000000006,169.0,137.0,137.0,137.0,-32.0
Keon Coleman,WR,BUF,143.6,-17.599999999999994,117.5,140.0,138.0,138.0,20.5
Jaxon Smith Njigba,WR,SEA,143.6,-17.599999999999994,117.5,141.0,140.0,140.0,22.5
Matthew Stafford,QB,LAR,258.9,-3.2000000000000455,98.0,138.0,141.0,141.0,43.0
Jameson Williams,WR,DET,134.6,-26.599999999999994,130.0,142.0,142.0,142.0,12.0
Kirk Cousins,QB,ATL,273.2,11.099999999999966,70.0,143.0,143.0,143.0,73.0
Dawson Knox,TE,BUF,71.9,-77.29999999999998,206.0,144.0,144.0,144.0,-62.0
AJ Dillon,RB,GB,54.2,-111.60000000000001,269.0,147.0,145.0,145.0,-124.0
Aaron Rodgers,QB,NYJ,260.2,-1.900000000000034,96.0,145.0,146.0,146.0,50.0
Cole Kmet,TE,CHI,116.9,-32.29999999999998,138.5,149.0,148.0,148.0,9.5
Curtis Samuel,WR,BUF,131.2,-30.0,135.0,148.0,149.0,149.0,14.0
Khalil Shakir,WR,BUF,130.2,-31.0,136.0,152.0,151.0,151.0,15.0
Brian Thomas,WR,JAC,143.3,-17.899999999999977,119.0,153.0,153.0,153.0,34.0
Zach Charbonnet,RB,SEA,108.6,-57.20000000000002,172.0,154.0,154.0,154.0,-18.0
Pat Freiermuth,TE,PIT,108.8,-40.39999999999999,148.0,156.0,156.0,156.0,8.0
Josh Downs,WR,IND,109.2,-51.999999999999986,165.0,157.0,157.0,157.0,-8.0
Brandin Cooks,WR,DAL,137.1,-24.099999999999994,126.0,160.0,158.0,158.0,32.0
Baker Mayfield,QB,TB,267.6,5.5,75.0,163.0,160.0,160.0,85.0
Isaiah Likely,TE,BAL,86.7,-62.499999999999986,179.0,159.0,161.0,161.0,-18.0
Geno Smith,QB,SEA,254.0,-8.100000000000023,105.0,162.0,162.0,162.0,57.0
Adam Thielen,WR,CAR,134.0,-27.19999999999999,131.0,165.0,163.0,163.0,32.0
Will Levis,QB,TEN,229.1,-33.00000000000003,141.0,168.0,166.0,166.0,25.0
Antonio Gibson,RB,NE,125.8,-40.000000000000014,147.0,164.0,167.0,167.0,20.0
Dontayvion Wicks,WR,GB,94.1,-67.1,187.0,169.0,168.0,168.0,-19.0
Rashid Shaheed,WR,NO,135.7,-25.5,129.0,166.0,169.0,169.0,40.0
Dameon Pierce,RB,HOU,49.9,-115.9,280.5,171.0,170.0,170.0,-110.5
JK Dobbins,RB,LAC,147.4,-18.400000000000006,120.0,170.0,171.0,171.0,51.0
Jaylen Wright,RB,MIA,85.4,-80.4,213.0,172.0,172.0,172.0,-41.0
Elijah Mitchell,RB,SF,75.3,-90.50000000000001,231.0,174.0,173.0,173.0,-58.0
Jahan Dotson,WR,WAS,113.8,-47.39999999999999,156.0,175.0,174.0,174.0,18.0
Jakobi Meyers,WR,LV,140.9,-20.299999999999983,124.0,173.0,175.0,175.0,51.0
Chuba Hubbard,RB,CAR,99.1,-66.70000000000002,186.0,177.0,176.0,176.0,-10.0
Khalil Herbert,RB,CHI,90.1,-75.70000000000002,204.0,180.0,177.0,177.0,-27.0
Deshaun Watson,QB,CLE,273.6,11.5,66.5,176.0,178.0,178.0,111.5
Ricky Pearsall,WR,SF,76.5,-84.69999999999999,224.0,182.0,179.0,179.0,-45.0
Jerry Jeudy,WR,CLE,144.3,-16.899999999999977,115.0,178.0,180.0,180.0,65.0
MarShawn Lloyd,RB,GB,93.8,-72.00000000000001,194.0,179.0,181.0,181.0,-13.0
Rico Dowdle,RB,DAL,106.8,-59.000000000000014,174.0,181.0,182.0,182.0,8.0
Tyler Conklin,TE,NYJ,105.1,-44.099999999999994,150.0,187.0,183.0,183.0,33.0
Mike Williams,WR,NYJ,150.6,-10.599999999999994,108.0,186.0,184.0,184.0,76.0
Romeo Doubs,WR,GB,138.5,-22.69999999999999,125.0,188.0,186.0,186.0,61.0
Ty Chandler,RB,MIN,118.2,-47.60000000000001,157.0,185.0,187.0,187.0,30.0
Adonai Mitchell,WR,IND,112.3,-48.89999999999999,159.0,183.0,188.0,188.0,29.0
Gabe Davis,WR,JAC,132.3,-28.899999999999977,133.0,191.0,189.0,189.0,56.0
Tyler Allgeier,RB,ATL,122.3,-43.500000000000014,149.0,190.0,190.0,190.0,41.0
Xavier Legette,WR,CAR,113.9,-47.29999999999998,155.0,189.0,191.0,191.0,36.0
Jaleel McLaughlin,RB,DEN,102.9,-62.900000000000006,180.0,193.0,193.0,193.0,13.0
Kendre Miller,RB,NO,94.4,-71.4,192.0,192.0,194.0,194.0,2.0
Joshua Palmer,WR,LAC,124.6,-36.599999999999994,143.0,196.0,198.0,198.0,55.0
Luke Musgrave,TE,GB,88.0,-61.19999999999999,177.0,203.0,200.0,200.0,23.0
Ben Sinnott,TE,WAS,76.3,-72.89999999999999,197.0,202.0,201.0,201.0,4.0
Noah Fant,TE,SEA,75.5,-73.69999999999999,200.0,200.0,204.0,204.0,4.0
Hunter Henry,TE,NE,96.3,-52.89999999999999,167.0,206.0,206.0,206.0,39.0
Chigoziem Okonkwo,TE,TEN,97.3,-51.89999999999999,164.0,210.0,210.0,210.0,46.0
Cade Otton,TE,TB,91.7,-57.499999999999986,173.0,212.0,212.0,212.0,39.0
Derek Carr,QB,NO,251.7,-10.400000000000034,107.0,,,,
Daniel Jones,QB,NYG,248.8,-13.300000000000011,113.0,,,,
DeMario Douglas,WR,NE,129.2,-32.0,137.0,,,,
Kendrick Bourne,WR,NE,128.8,-32.39999999999998,140.0,,,,
Darnell Mooney,WR,ATL,122.8,-38.39999999999999,144.0,,,,
