Rank,Player,Team,Pos,Current ADP
1,Christian McCaffrey,SF,RB,1
2,CeeDee Lamb,DAL,WR,2
3,Tyreek Hill,MIA,WR,3
4,Breece Hall,NYJ,RB,4
5,JaMarr Chase,CIN,WR,5
6,Bijan Robinson,ATL,RB,6
7,Justin Jefferson,MIN,WR,7
8,AmonRa St Brown,DET,WR,8
9,Jonathan Taylor,IND,RB,9
10,AJ Brown,PHI,WR,10
11,Saquon Barkley,PHI,RB,11
12,Garrett Wilson,NYJ,WR,12
13,Jahmyr Gibbs,DET,RB,13
14,Puka Nacua,LAR,WR,14
15,Derrick Henry,BAL,RB,15
16,Kyren Williams,LAR,RB,16
17,Marvin Harrison,ARI,WR,17
18,Davante Adams,LV,WR,18
19,Isiah Pacheco,KC,RB,19
20,Josh Allen,BUF,QB,20
21,Travis Etienne,JAC,RB,21
22,Chris Olave,NO,WR,22
23,Josh Jacobs,GB,RB,24
24,Travis Kelce,KC,TE,23
25,Sam LaPorta,DET,TE,25
26,Brandon Aiyuk,SF,WR,26
27,Mike Evans,TB,WR,27
28,Patrick Mahomes,KC,QB,28
29,Deebo Samuel,SF,WR,30
30,DeVon Achane,MIA,RB,29
31,Drake London,ATL,WR,31
32,Jalen Hurts,PHI,QB,32
33,Rachaad White,TB,RB,33
34,Lamar Jackson,BAL,QB,34
35,Joe Mixon,HOU,RB,35
36,Nico Collins,HOU,WR,36
37,Jaylen Waddle,MIA,WR,37
38,Cooper Kupp,LAR,WR,38
39,DJ Moore,CHI,WR,40
40,DK Metcalf,SEA,WR,39
41,CJ Stroud,HOU,QB,41
42,James Cook,BUF,RB,42
43,Anthony Richardson,IND,QB,43
44,Stefon Diggs,HOU,WR,44
45,Michael Pittman,IND,WR,45
46,Kenneth Walker,SEA,RB,46
47,David Montgomery,DET,RB,47
48,Mark Andrews,BAL,TE,48
49,Alvin Kamara,NO,RB,49
50,Amari Cooper,CLE,WR,50
51,Aaron Jones,MIN,RB,51
52,Trey McBride,ARI,TE,52
53,DeVonta Smith,PHI,WR,53
54,George Kittle,SF,TE,54
55,Joe Burrow,CIN,QB,55
56,Kyler Murray,ARI,QB,56
57,Dalton Kincaid,BUF,TE,57
58,James Conner,ARI,RB,58
59,Rhamondre Stevenson,NE,RB,59
60,Tee Higgins,CIN,WR,60
61,Kyle Pitts,ATL,TE,61
62,Dak Prescott,DAL,QB,62
63,Zamir White,LV,RB,64
64,Tank Dell,HOU,WR,63
65,Zay Flowers,BAL,WR,66
66,Raheem Mostert,MIA,RB,65
67,Najee Harris,PIT,RB,67
68,Malik Nabers,NYG,WR,68
69,George Pickens,PIT,WR,69
70,San Francisco 49ers,DST,DST,70
71,Dandre Swift,CHI,RB,71
72,Evan Engram,JAC,TE,72
73,Jordan Love,GB,QB,73
74,Baltimore Ravens,DST,DST,74
75,Justin Tucker,BAL,K,75
76,Keenan Allen,CHI,WR,76
77,Jake Ferguson,DAL,TE,77
78,Christian Kirk,JAC,WR,78
79,Terry McLaurin,WAS,WR,79
80,New York Jets,DST,DST,80
81,Brock Purdy,SF,QB,81
82,Dallas Cowboys,DST,DST,82
83,Zack Moss,CIN,RB,83
84,Brandon Aubrey,DAL,K2,84
85,Hollywood Brown,KC,WR,85
86,Nick Chubb,CLE,RB,86
87,David Njoku,CLE,TE,87
88,Harrison Butker,KC,K,88
89,Tony Pollard,TEN,RB,89
90,Chris Godwin,TB,WR,90
91,Jayden Reed,GB,WR,92
92,Jaylen Warren,PIT,RB,91
93,Calvin Ridley,TEN,WR,93
94,Cleveland Browns,DST,DST,94
95,Devin Singletary,NYG,RB,95
96,Tua Tagovailoa,MIA,QB,97
97,Brian Robinson,WAS,RB,96
98,Diontae Johnson,CAR,WR,98
99,Rome Odunze,CHI,WR,99
100,Rashee Rice,KC,WR,100
101,Austin Ekeler,WAS,RB,101
102,Jared Goff,DET,QB,102
103,Jordan Addison,MIN,WR,104
104,DeAndre Hopkins,TEN,WR,103
105,Javonte Williams,DEN,RB,105
106,Kaimi Fairbairn,HOU,K,106
107,Jonathon Brooks,CAR,RB,107
108,Kansas City Chiefs,DST,DST,108
109,Dallas Goedert,PHI,TE,109
110,Ezekiel Elliott,DAL,RB,110
111,Trey Benson,ARI,RB,112
112,Jake Elliott,PHI,K,111
113,Tyjae Spears,TEN,RB,113
114,Jayden Daniels,WAS,QB,114
115,Gus Edwards,LAC,RB,115
116,Brock Bowers,LV,TE,116
117,Miami Dolphins,DST,DST,119
118,Xavier Worthy,KC,WR,117
119,Caleb Williams,CHI,QB,118
120,Christian Watson,GB,WR,120
121,Pittsburgh Steelers,DST,DST,121
122,Ladd McConkey,LAC,WR,122
123,Justin Herbert,LAC,QB,124
124,Jake Moody,SF,K,123
125,Courtland Sutton,DEN,WR,125
126,Dalton Schultz,HOU,TE,126
127,Russell Wilson,PIT,QB,128
128,TJ Hockenson,MIN,TE,130
129,Bo Nix,DEN,QB,129
130,JJ McCarthy,MIN,QB,127
